Country,Date,ARIMA_Forecast,Hybrid_Forecast,Linear_Regression_Forecast,Actual
Montenegro,2025-04-01,17.57705078012319,12.217860664830607,,
Montenegro,2025-05-01,15.956319929792421,11.108865501377737,,
Montenegro,2025-06-01,17.002440311453736,11.860915935346878,,
Montenegro,2025-07-01,25.687164929936788,17.955466301815036,,
Montenegro,2025-08-01,11.083826527406611,7.7395434777308365,,
Montenegro,2025-09-01,9.35822863312637,6.534061256199604,,
Montenegro,2025-10-01,4.232947001469252,2.9477023752192477,,
Montenegro,2025-11-01,-14.784583673455453,0.0,,
Montenegro,2025-12-01,-20.772616444280256,0.0,,
Montenegro,2026-01-01,-21.68344337214901,0.0,,
Montenegro,2026-02-01,-40.91683986752382,0.0,,
Montenegro,2026-03-01,-38.000706092345006,0.0,,
Montenegro,2026-04-01,-24.86954748132512,0.0,,
Montenegro,2026-05-01,-26.490278434832366,0.0,,
Montenegro,2026-06-01,-25.44415799467705,0.0,,
Montenegro,2026-07-01,-16.759433152827825,0.0,,
Montenegro,2026-08-01,-31.362771948681416,0.0,,
Montenegro,2026-09-01,-33.088369894232144,0.0,,
Montenegro,2026-10-01,-38.21365166464943,0.0,,
Montenegro,2026-11-01,-57.23118286276897,0.0,,
Montenegro,2026-12-01,-63.21921579750872,0.0,,
Montenegro,2027-01-01,-64.13004272812908,0.0,,
Montenegro,2027-02-01,-83.36343922374101,0.0,,
Montenegro,2027-03-01,-80.44730544900929,0.0,,
Montenegro,2027-04-01,-67.316146836551,0.0,,
Montenegro,2027-05-01,-68.93687779036998,0.0,,
Montenegro,2027-06-01,-67.89075735003793,0.0,,
Montenegro,2027-07-01,-59.206032507514216,0.0,,
Montenegro,2027-08-01,-73.80937130455558,0.0,,
Montenegro,2027-09-01,-75.53496925026116,0.0,,
Montenegro,2027-10-01,-80.66025102109748,0.0,,
Montenegro,2027-11-01,-99.67778222079704,0.0,,
Montenegro,2027-12-01,-105.6658151560318,0.0,,
Montenegro,2028-01-01,-106.57664208666048,0.0,,
Montenegro,2028-02-01,-125.81003858227314,0.0,,
Montenegro,2028-03-01,-122.89390480754274,0.0,,
Montenegro,2028-04-01,-109.76274619508011,0.0,,
Montenegro,2028-05-01,-111.38347714890004,0.0,,
Montenegro,2028-06-01,-110.33735670856747,0.0,,
Montenegro,2028-07-01,-101.6526318660417,0.0,,
Montenegro,2028-08-01,-116.25597066308666,0.0,,
Montenegro,2028-09-01,-117.98156860879271,0.0,,
Montenegro,2028-10-01,-123.1068503796303,0.0,,
Montenegro,2028-11-01,-142.12438157933462,0.0,,
Montenegro,2028-12-01,-148.11241451457087,0.0,,
Montenegro,2029-01-01,-149.02324144519957,0.0,,
Montenegro,2029-02-01,-168.25663794081223,0.0,,
Montenegro,2029-03-01,-165.34050416608184,0.0,,
Montenegro,2029-04-01,-152.20934555361922,0.0,,
Montenegro,2029-05-01,-153.83007650743914,0.0,,
Montenegro,2029-06-01,-152.78395606710657,0.0,,
Montenegro,2029-07-01,-144.0992312245808,0.0,,
Montenegro,2029-08-01,-158.70257002162575,0.0,,
Montenegro,2029-09-01,-160.4281679673318,0.0,,
Montenegro,2029-10-01,-165.5534497381694,0.0,,
Montenegro,2029-11-01,-184.57098093787377,0.0,,
Montenegro,2029-12-01,-190.55901387311,0.0,,
Montenegro,2030-01-01,-191.4698408037387,0.0,,
Montenegro,2030-02-01,-210.70323729935134,0.0,,
Montenegro,2030-03-01,-207.78710352462096,0.0,,
Montenegro,2030-04-01,-194.65594491215833,0.0,,
Montenegro,2030-05-01,-196.27667586597826,0.0,,
Montenegro,2030-06-01,-195.2305554256457,0.0,,
Montenegro,2030-07-01,-186.5458305831199,0.0,,
Montenegro,2030-08-01,-201.1491693801649,0.0,,
Montenegro,2030-09-01,-202.87476732587092,0.0,,
Montenegro,2030-10-01,-208.00004909670852,0.0,,
Montenegro,2030-11-01,-227.01758029641286,0.0,,
Montenegro,2030-12-01,-233.0056132316491,0.0,,
Montenegro,2031-01-01,-233.9164401622778,0.0,,
Montenegro,2031-02-01,-253.14983665789046,0.0,,
Montenegro,2031-03-01,-250.23370288316008,0.0,,
Montenegro,2031-04-01,-237.10254427069745,0.0,,
Montenegro,2031-05-01,-238.72327522451738,0.0,,
Montenegro,2031-06-01,-237.6771547841848,0.0,,
Montenegro,2031-07-01,-228.99242994165903,0.0,,
Montenegro,2031-08-01,-243.595768738704,0.0,,
Montenegro,2031-09-01,-245.32136668441004,0.0,,
Montenegro,2031-10-01,-250.44664845524764,0.0,,
Montenegro,2031-11-01,-269.464179654952,0.0,,
Montenegro,2031-12-01,-275.45221259018825,0.0,,
Montenegro,2032-01-01,-276.363039520817,0.0,,
